Lifetime_Value,Age,Membership_Years,Login_Frequency,Session_Duration_Avg,Pages_Per_Session,Mobile_App_Usage,Social_Media_Engagement_Score,Email_Open_Rate,Days_Since_Last_Purchase,Cart_Abandonment_Rate,Wishlist_Items,Discount_Usage_Rate,Returns_Rate,Customer_Service_Calls,Product_Reviews_Written,Payment_Method_Diversity
929.28,28.0,1.6,12.0,15.6,6.7,13.1,0.0,32.0,,55.6,7.0,46.8,7.7,10.0,2.0,2.0
976.87,34.0,0.2,10.0,12.6,2.3,15.4,0.8,13.9,8.0,79.8,1.0,57.2,2.6,9.0,0.0,2.0
792.29,47.0,5.4,9.0,11.8,4.3,7.3,20.3,,9.0,91.1,0.0,29.9,3.7,1.0,2.0,4.0
3319.56,23.0,0.6,8.0,29.6,8.5,33.2,27.9,34.9,6.0,37.2,5.0,39.96,0.7,4.0,3.0,2.0
1397.47,40.0,2.2,17.0,35.3,9.4,28.1,65.1,16.9,15.0,55.0,3.0,71.9,,5.0,4.0,2.0
709.07,53.0,1.5,18.0,23.8,9.4,8.8,14.0,0.0,61.0,70.3,2.0,16.2,9.1,10.0,1.0,1.0
433.88,18.0,1.9,8.0,18.1,1.2,13.5,0.0,2.3,5.0,70.5,0.0,76.6,8.4,6.0,1.0,2.0
486.4,40.0,5.2,2.0,26.0,6.6,13.5,0.0,6.1,1.0,78.2,,46.1,3.8,6.0,1.0,4.0
567.09,41.0,2.5,5.0,24.2,7.0,,,11.3,12.0,41.1,3.0,86.6,12.2,6.0,4.0,2.0
316.61,47.0,1.6,6.0,20.6,,13.1,11.2,21.7,8.0,60.1,2.0,78.84,6.2,5.0,1.0,3.0
1480.16,23.0,1.3,19.0,31.5,13.5,30.2,29.1,38.6,130.0,44.5,8.0,19.3,4.5,3.0,2.0,3.0
748.33,22.0,4.5,0.0,16.8,5.8,15.3,0.0,6.2,,54.6,0.0,33.72,6.0,12.0,0.0,1.0
1145.79,44.0,3.7,7.0,20.6,4.9,17.1,0.3,7.2,8.0,59.1,3.0,70.08,10.8,8.0,1.0,2.0
1715.56,,4.6,23.0,45.9,14.7,33.4,76.8,37.0,30.0,52.4,9.0,54.6,7.1,4.0,5.0,3.0
428.69,41.0,1.2,5.0,13.5,6.8,2.2,45.6,23.9,42.0,63.1,5.0,61.5,9.0,8.0,3.0,5.0
1022.78,42.0,4.7,3.0,17.7,7.4,16.9,8.5,3.6,5.0,59.2,1.0,20.28,1.1,10.0,3.0,2.0
2305.4,29.0,0.1,4.0,36.2,9.7,,34.5,23.8,,48.8,6.0,33.3,7.1,3.0,7.0,2.0
442.81,40.0,0.6,4.0,21.8,4.9,,10.5,,3.0,87.7,2.0,87.48,10.0,3.0,,4.0
278.08,41.0,2.4,0.0,2.6,1.0,9.4,6.7,1.2,27.0,63.3,0.0,31.6,6.2,8.0,0.0,2.0
2506.18,29.0,0.6,6.0,34.4,,24.3,25.5,31.8,40.0,42.6,8.0,77.1,,6.0,,1.0
408.79,,1.3,9.0,23.0,4.3,13.6,5.5,6.0,2.0,64.1,4.0,46.3,4.3,9.0,,2.0
849.48,43.0,5.2,18.0,25.9,7.0,13.0,47.5,23.3,23.0,65.4,2.0,30.8,2.8,5.0,2.0,4.0
489.75,23.0,1.3,11.0,23.8,6.4,9.9,,0.9,43.0,76.2,3.0,19.3,4.2,5.0,3.0,3.0
393.97,45.0,4.7,3.0,6.9,3.3,1.0,0.0,10.7,3.0,73.5,,65.7,,7.0,0.0,3.0
1212.3,26.0,2.3,15.0,18.5,7.3,13.1,22.8,27.0,1.0,58.3,,30.36,,8.0,1.0,3.0
538.51,47.0,2.4,6.0,18.8,5.1,19.0,25.3,4.9,2.0,81.3,1.0,34.0,6.4,8.0,1.0,1.0
1629.95,51.0,2.7,2.0,,5.0,7.4,22.9,12.2,51.0,61.0,6.0,69.6,0.9,5.0,4.0,2.0
820.17,,5.7,16.0,12.0,6.0,12.6,0.0,21.9,49.0,71.2,2.0,61.1,5.1,9.0,1.0,2.0
764.66,49.0,2.3,8.0,32.5,11.4,18.9,,14.2,9.0,58.6,4.0,44.4,,9.0,1.0,2.0
1399.91,42.0,2.8,10.0,18.8,7.6,8.5,32.9,22.3,67.0,75.2,6.0,39.5,1.3,6.0,2.0,2.0
2181.51,,2.1,31.0,49.9,17.7,,64.7,30.7,4.0,44.4,5.0,29.6,7.5,3.0,9.0,2.0
823.46,60.0,1.1,4.0,17.3,8.4,19.4,14.9,12.3,6.0,60.9,7.0,16.919999999999998,10.6,3.0,1.0,2.0
859.21,35.0,1.9,7.0,13.5,6.5,12.4,6.2,11.3,85.0,57.9,3.0,37.1,2.8,3.0,,2.0
1250.79,28.0,0.8,0.0,18.7,7.2,7.2,0.0,6.3,2.0,58.6,2.0,58.1,22.8,4.0,3.0,2.0
1251.01,27.0,2.5,19.0,30.4,7.9,21.7,48.8,28.6,20.0,51.5,,53.4,10.9,9.0,3.0,3.0
1513.55,28.0,4.5,12.0,21.0,6.1,25.2,32.7,6.0,,58.1,0.0,48.7,1.0,7.0,5.0,2.0
2251.89,37.0,2.2,16.0,25.8,9.2,13.0,19.1,36.4,51.0,46.1,3.0,17.9,25.6,7.0,2.0,1.0
833.76,42.0,1.1,7.0,17.3,9.3,10.3,7.9,2.2,180.0,88.0,1.0,33.2,5.8,8.0,0.0,2.0
1155.63,41.0,2.3,9.0,24.9,9.5,,32.4,0.0,17.0,47.5,3.0,45.35999999999999,5.6,7.0,2.0,2.0
2012.61,47.0,1.0,8.0,25.7,6.7,25.8,56.6,12.0,37.0,37.5,8.0,46.8,4.5,9.0,1.0,1.0
2370.23,38.0,0.5,23.0,47.9,,29.6,46.3,27.9,27.0,41.7,2.0,43.6,3.1,3.0,4.0,1.0
1078.29,55.0,1.3,13.0,13.4,5.4,8.7,0.0,5.4,21.0,49.8,0.0,44.5,5.7,4.0,2.0,3.0
2700.48,,6.7,24.0,54.1,16.3,38.6,66.0,58.5,54.0,16.0,,21.0,7.2,3.0,4.0,1.0
2743.33,70.0,0.3,33.0,47.3,16.4,31.7,,47.9,89.0,36.9,9.0,,8.6,4.0,5.0,2.0
1436.92,45.0,1.5,8.0,23.4,9.3,15.4,0.0,,0.0,66.7,5.0,,,7.0,1.0,1.0
1017.04,27.0,2.7,12.0,19.7,13.1,7.2,36.8,21.2,62.0,70.2,1.0,83.8,2.9,5.0,2.0,2.0
1057.99,25.0,2.5,20.0,,10.3,21.5,35.5,24.3,41.0,61.8,8.0,40.6,14.1,4.0,5.0,2.0
1012.45,43.0,8.1,19.0,22.0,,9.4,0.0,25.0,70.0,70.3,1.0,55.2,2.3,10.0,2.0,
1078.04,35.0,3.6,6.0,29.8,7.7,,37.3,13.2,30.0,48.8,3.0,54.1,2.2,7.0,0.0,3.0
1727.55,46.0,3.1,14.0,26.4,8.1,,32.7,24.5,33.0,45.6,5.0,39.2,4.2,1.0,5.0,1.0
679.44,43.0,1.3,1.0,17.1,5.8,10.9,10.1,12.0,18.0,69.7,2.0,14.7,0.8,5.0,3.0,1.0
1826.15,37.0,1.9,9.0,29.2,11.4,,54.3,38.0,63.0,41.2,6.0,19.7,5.6,6.0,0.0,1.0
2747.81,27.0,10.0,16.0,36.5,15.4,17.2,22.1,18.7,10.0,50.9,4.0,58.2,6.0,3.0,4.0,2.0
2611.6,19.0,2.3,21.0,30.2,9.8,18.3,23.6,28.2,10.0,43.3,7.0,12.9,3.8,4.0,3.0,3.0
2109.93,32.0,0.1,14.0,32.2,6.7,23.8,33.4,19.6,7.0,42.5,3.0,13.3,7.1,4.0,7.0,2.0
849.8,48.0,1.1,13.0,17.6,8.8,11.1,29.9,29.6,30.0,77.3,5.0,22.3,5.4,11.0,5.0,2.0
1907.98,,1.0,25.0,45.4,,34.5,50.4,29.4,68.0,27.7,17.0,40.0,11.2,3.0,5.0,4.0
1664.37,23.0,3.2,9.0,28.7,11.9,20.3,35.5,,59.0,57.3,2.0,59.9,0.3,4.0,2.0,5.0
4153.66,40.0,3.5,24.0,59.9,16.3,34.0,80.2,44.9,19.0,12.7,11.0,65.3,15.9,0.0,7.0,1.0
1178.42,,3.4,1.0,17.8,5.9,19.3,,26.5,13.0,72.2,1.0,86.04,2.4,10.0,1.0,4.0
853.07,27.0,0.4,6.0,16.8,8.4,15.9,14.1,6.1,21.0,57.7,1.0,61.67999999999999,6.6,4.0,1.0,2.0
1317.36,39.0,4.1,9.0,,5.5,20.0,6.7,15.2,13.0,74.6,1.0,36.7,9.7,8.0,3.0,2.0
1003.26,38.0,0.6,21.0,32.9,15.2,18.4,69.0,37.8,,35.6,8.0,,6.0,4.0,3.0,1.0
2351.35,24.0,5.0,4.0,14.9,5.4,12.9,23.6,8.1,15.0,63.3,0.0,68.5,6.9,7.0,,1.0
2193.27,42.0,4.3,5.0,15.8,5.8,3.2,0.0,8.6,20.0,71.9,2.0,65.8,,6.0,4.0,2.0
339.77,44.0,6.1,2.0,,9.0,19.9,24.5,27.4,68.0,78.1,1.0,13.0,7.4,8.0,1.0,2.0
792.65,50.0,2.2,3.0,17.6,5.4,12.3,26.0,4.4,21.0,55.8,5.0,,4.9,7.0,,3.0
867.75,50.0,9.0,14.0,30.1,12.6,23.2,27.8,26.7,2.0,44.4,6.0,58.1,2.0,6.0,2.0,1.0
1258.94,21.0,0.9,16.0,27.9,10.2,10.0,2.9,0.0,23.0,82.1,5.0,68.9,10.2,11.0,3.0,1.0
