Churned,Age,Membership_Years,Login_Frequency,Session_Duration_Avg,Pages_Per_Session,Mobile_App_Usage,Social_Media_Engagement_Score,Email_Open_Rate,Total_Purchases,Average_Order_Value,Days_Since_Last_Purchase,Cart_Abandonment_Rate,Wishlist_Items,Discount_Usage_Rate,Returns_Rate,Customer_Service_Calls,Product_Reviews_Written,Payment_Method_Diversity,Credit_Balance
0,49.0,2.1,18.0,46.9,14.9,25.6,25.2,22.9,29.9,51.36,3.0,45.4,9.0,22.08,1.3,6.0,2.0,2.0,2612.0
0,,6.3,24.0,41.4,,39.5,43.3,24.7,13.0,104.41,8.0,48.1,,11.4,5.8,5.0,4.0,4.0,
0,35.0,1.7,5.0,20.8,6.9,12.8,47.2,22.0,8.0,142.89,9.0,70.2,3.0,62.2,,7.0,3.0,2.0,21.0
0,24.0,3.2,3.0,22.4,8.3,12.3,0.2,9.3,10.4,103.77,17.0,73.5,5.0,34.92,4.9,4.0,1.0,1.0,2218.0
0,23.0,0.3,26.0,36.7,8.3,32.2,53.7,35.2,14.0,82.7,20.0,46.5,9.0,60.5,3.4,4.0,3.0,3.0,3218.0
0,47.0,4.8,16.0,45.7,12.7,32.9,29.8,48.3,20.0,102.42,14.0,41.7,7.0,,,3.0,4.0,2.0,4181.0
0,54.0,4.0,20.0,37.4,15.3,36.4,33.9,30.0,22.0,152.76,12.0,56.9,7.0,32.3,0.3,3.0,9.0,2.0,4435.0
0,37.0,3.8,6.0,32.8,10.5,10.9,48.4,8.8,13.0,119.3,6.0,51.2,7.0,16.9,16.6,7.0,4.0,1.0,1.0
0,50.0,1.9,19.0,33.3,13.0,,42.7,32.0,19.5,141.59,18.0,27.4,8.0,32.04,13.1,5.0,5.0,1.0,2366.0
0,42.0,1.5,25.0,46.2,11.7,,68.9,30.3,26.0,80.27,25.0,34.5,9.0,,11.4,0.0,8.0,1.0,
1,30.0,1.4,14.0,39.0,12.1,36.2,68.6,36.6,23.4,153.4,4.0,22.1,9.0,65.64,14.4,3.0,3.0,3.0,
1,42.0,3.5,6.0,9.0,5.9,2.3,0.0,,4.0,159.6,124.0,76.0,1.0,73.8,0.3,7.0,1.0,3.0,
0,56.0,5.4,9.0,19.6,9.3,20.9,0.0,,10.0,88.03,53.0,54.3,5.0,57.5,3.5,8.0,1.0,1.0,728.0
0,37.0,4.3,7.0,19.2,7.8,19.0,40.7,38.5,16.0,107.13,12.0,59.8,4.0,33.2,3.3,7.0,,3.0,3446.0
0,56.0,2.6,6.0,22.9,5.9,6.8,45.5,29.2,11.7,82.54,,62.8,2.0,30.84,9.7,7.0,4.0,3.0,2499.0
1,18.0,0.7,7.0,23.7,6.6,20.3,44.2,8.9,11.0,83.69,10.0,48.1,6.0,27.2,6.9,11.0,4.0,1.0,2660.0
1,47.0,0.9,5.0,11.2,1.0,4.0,16.4,0.0,5.0,171.12,36.0,63.2,0.0,36.6,1.0,3.0,0.0,2.0,1903.0
0,39.0,9.3,12.0,23.5,9.5,21.8,23.2,31.4,10.0,63.25,3.0,78.3,6.0,35.8,2.7,5.0,4.0,2.0,1636.0
0,,1.2,12.0,36.7,9.7,31.1,27.9,28.2,26.0,96.02,8.0,63.4,3.0,27.72,,4.0,4.0,2.0,3337.0
0,39.0,0.9,17.0,39.1,11.2,36.7,39.1,23.9,18.0,133.43,32.0,30.7,9.0,61.8,3.1,3.0,7.0,2.0,2526.0
1,18.0,0.8,5.0,18.3,4.1,3.2,0.0,0.0,2.6,97.98,15.0,68.8,1.0,12.72,,8.0,0.0,5.0,1100.0
0,35.0,1.3,12.0,27.0,9.3,18.7,27.1,0.0,6.0,49.46,43.0,61.3,3.0,75.6,5.3,3.0,0.0,2.0,829.0
0,42.0,1.6,2.0,13.8,9.2,16.8,38.0,32.6,7.0,70.73,6.0,61.8,2.0,32.1,2.9,8.0,0.0,3.0,2199.0
0,55.0,5.3,18.0,42.1,9.5,29.4,36.6,41.7,24.7,108.17,74.0,62.0,8.0,61.92,1.9,4.0,5.0,4.0,3579.0
0,,3.6,3.0,18.5,7.0,12.3,28.7,12.2,14.0,82.93,14.0,58.5,3.0,65.0,7.0,5.0,2.0,2.0,
1,28.0,0.2,31.0,37.3,16.7,32.5,52.2,32.0,16.0,134.24,67.0,32.0,,33.3,3.3,7.0,6.0,3.0,1834.0
0,31.0,3.6,32.0,44.2,14.5,,27.2,27.6,18.0,206.62,11.0,20.7,4.0,63.9,5.5,2.0,4.0,3.0,3150.0
0,48.0,6.3,21.0,26.0,12.3,13.3,,18.9,12.0,103.08,61.0,65.8,1.0,,5.5,5.0,3.0,2.0,4115.0
0,41.0,3.4,23.0,44.6,14.2,27.8,35.2,39.2,15.0,111.93,48.0,46.8,5.0,25.1,17.0,4.0,1.0,1.0,2442.0
0,31.0,1.2,32.0,37.1,14.8,,,32.6,19.0,142.42,,46.3,5.0,28.0,2.9,5.0,5.0,3.0,2134.0
0,44.0,1.8,6.0,10.0,3.6,12.9,0.0,20.7,4.0,136.59,31.0,72.2,3.0,62.4,6.7,5.0,0.0,1.0,263.0
0,39.0,2.1,14.0,32.7,13.2,26.4,45.1,35.8,18.0,62.16,91.0,46.2,4.0,47.9,12.0,5.0,5.0,3.0,1454.0
0,49.0,2.5,14.0,37.1,9.7,20.9,28.7,30.9,19.5,103.66,20.0,36.0,4.0,31.08,9.9,7.0,4.0,2.0,1957.0
1,29.0,1.9,5.0,11.6,6.6,5.6,9.5,0.0,7.0,118.02,57.0,87.1,,9.7,2.1,6.0,2.0,3.0,
1,34.0,2.9,24.0,37.7,10.6,30.2,22.7,37.9,31.200000000000003,104.08,9.0,45.8,8.0,92.52,,7.0,4.0,,3404.0
1,,3.2,19.0,34.0,11.3,29.2,35.9,55.0,12.0,180.46,51.0,30.7,7.0,8.3,6.8,6.0,5.0,1.0,1298.0
0,20.0,2.7,9.0,27.6,9.9,16.6,44.6,,20.8,62.59,22.0,50.2,6.0,98.4,2.4,2.0,3.0,3.0,3169.0
1,41.0,2.3,5.0,16.5,,4.7,0.0,,4.0,143.98,30.0,90.2,2.0,5.2,,4.0,0.0,5.0,218.0
0,41.0,3.6,9.0,21.8,6.2,24.5,8.3,,13.0,85.91,8.0,69.0,5.0,68.5,0.2,6.0,3.0,2.0,2066.0
1,38.0,2.5,18.0,34.4,12.7,25.2,45.6,28.1,19.5,241.2,13.0,45.7,5.0,101.52,12.1,8.0,3.0,1.0,798.0
0,35.0,2.8,21.0,40.1,14.1,34.2,49.2,41.7,26.0,55.46,42.0,42.0,9.0,19.8,5.5,3.0,3.0,1.0,5993.0
0,21.0,1.5,0.0,11.6,5.4,18.6,28.6,2.2,8.0,136.82,,80.8,3.0,68.8,2.1,4.0,1.0,2.0,1015.0
0,32.0,4.0,1.0,13.3,5.0,5.8,4.5,14.9,15.6,96.04,2.0,73.1,2.0,57.84,4.7,3.0,2.0,1.0,1013.0
0,33.0,6.6,27.0,48.5,13.5,23.2,14.8,30.7,18.0,110.49,,54.8,7.0,4.9,0.6,3.0,6.0,1.0,4225.0
1,28.0,5.3,0.0,26.8,5.7,11.9,0.0,0.0,4.0,106.8,1.0,82.7,0.0,,1.5,9.0,1.0,3.0,
0,36.0,1.2,10.0,17.3,2.8,2.4,0.6,21.6,6.0,225.02,32.0,62.2,1.0,75.4,8.8,7.0,3.0,1.0,2249.0
0,42.0,3.4,7.0,25.9,12.2,18.9,4.7,23.3,10.0,150.38,24.0,62.5,4.0,71.3,7.0,2.0,2.0,2.0,2656.0
0,60.0,7.7,29.0,42.3,,30.1,57.5,44.9,21.0,138.26,3.0,4.9,5.0,29.8,6.5,3.0,4.0,,2515.0
1,40.0,4.4,5.0,15.5,7.1,,2.7,4.8,9.1,92.11,108.0,63.2,2.0,66.47999999999999,6.4,4.0,1.0,3.0,691.0
0,41.0,2.7,20.0,34.0,12.1,26.5,35.4,37.4,20.0,78.31,80.0,46.0,8.0,22.8,5.1,4.0,5.0,3.0,3422.0
0,37.0,0.9,16.0,34.4,12.1,19.4,,19.7,15.0,102.98,23.0,36.9,5.0,,9.5,7.0,2.0,2.0,1335.0
0,,0.8,3.0,16.2,7.7,16.7,8.1,8.2,6.0,85.08,43.0,68.4,3.0,47.6,2.2,8.0,5.0,3.0,1804.0
0,37.0,4.1,13.0,36.1,10.4,27.7,59.8,39.3,13.0,100.29,76.0,48.0,4.0,18.1,18.7,5.0,4.0,2.0,2598.0
0,38.0,9.1,3.0,27.2,6.7,16.5,60.6,38.3,14.0,111.11,127.0,51.9,4.0,7.2,5.7,7.0,3.0,2.0,
0,67.0,0.8,27.0,33.5,14.4,28.8,35.9,27.1,19.0,86.61,14.0,39.5,9.0,36.8,3.1,2.0,6.0,2.0,2416.0
0,35.0,1.7,5.0,11.8,3.9,,3.3,16.3,5.0,132.78,3.0,71.7,1.0,40.6,3.3,5.0,1.0,2.0,137.0
0,41.0,2.7,6.0,11.6,4.0,13.3,22.8,0.0,6.0,76.52,3.0,76.2,1.0,20.1,4.2,5.0,,5.0,862.0
0,37.0,1.0,4.0,18.4,4.9,8.8,34.2,0.0,16.0,114.63,23.0,65.5,,54.0,7.6,5.0,4.0,3.0,0.0
0,23.0,1.1,12.0,31.6,13.1,26.8,37.8,37.8,17.0,104.81,66.0,45.1,2.0,50.0,6.7,5.0,9.0,3.0,2757.0
0,51.0,1.7,8.0,24.0,6.5,11.5,69.0,37.8,12.0,125.34,34.0,51.5,5.0,55.7,3.1,3.0,1.0,2.0,1607.0
0,47.0,2.1,9.0,16.3,5.1,15.5,10.0,12.8,6.0,121.45,1.0,62.3,5.0,21.6,2.7,8.0,2.0,1.0,3482.0
0,47.0,1.2,10.0,27.7,9.7,11.8,50.3,34.9,16.900000000000002,123.0,23.0,52.9,,65.75999999999999,11.9,7.0,2.0,,802.0
1,27.0,2.9,7.0,13.5,5.4,11.4,0.9,0.1,8.0,166.72,2.0,68.9,2.0,30.8,11.4,11.0,,3.0,0.0
0,54.0,7.4,14.0,25.2,13.9,25.6,,20.9,26.0,135.56,29.0,43.6,6.0,16.439999999999998,,5.0,10.0,2.0,3774.0
0,21.0,0.1,10.0,21.4,7.5,22.2,0.0,5.7,6.0,89.0,1.0,69.2,4.0,,6.1,9.0,1.0,3.0,405.0
0,45.0,2.3,28.0,45.7,15.8,29.9,51.5,41.8,31.200000000000003,172.65,,23.4,11.0,18.96,2.1,3.0,8.0,2.0,2231.0
0,64.0,2.6,5.0,,2.1,6.7,0.0,12.7,4.0,124.4,1.0,77.3,0.0,9.6,0.9,1.0,0.0,2.0,1105.0
0,26.0,0.9,10.0,26.9,6.9,11.2,13.1,2.2,6.0,79.12,11.0,67.8,2.0,26.7,6.4,4.0,3.0,3.0,0.0
0,31.0,3.3,6.0,11.3,,20.4,60.1,14.2,6.0,122.63,2.0,73.6,2.0,69.5,4.0,10.0,3.0,3.0,551.0
0,,3.4,0.0,20.7,6.6,,28.8,15.6,7.800000000000001,66.66,12.0,74.7,2.0,73.32,0.3,2.0,1.0,3.0,1445.0
0,31.0,3.7,8.0,13.0,6.0,10.0,29.1,,4.0,140.09,3.0,70.6,0.0,16.7,1.7,7.0,1.0,,0.0
0,19.0,2.3,7.0,25.4,8.6,15.4,37.6,12.2,6.0,240.66,0.0,70.3,,,11.1,8.0,3.0,4.0,
0,38.0,0.8,10.0,13.4,7.5,0.5,0.0,20.4,5.0,83.66,34.0,80.6,3.0,46.5,7.3,8.0,0.0,3.0,382.0
0,25.0,9.5,11.0,27.1,9.8,,16.4,20.4,15.6,139.19,,47.3,6.0,35.04,7.7,2.0,3.0,2.0,2615.0
0,43.0,3.4,13.0,26.6,11.2,19.4,29.4,6.3,8.0,96.62,65.0,63.1,4.0,30.3,6.7,5.0,3.0,2.0,1549.0
0,,0.9,28.0,35.8,8.6,21.1,15.1,29.3,20.0,60.24,33.0,48.0,3.0,18.9,8.4,9.0,6.0,2.0,0.0
0,,1.4,8.0,21.0,8.4,17.2,37.7,6.5,9.1,146.29,15.0,50.5,5.0,28.44,3.8,6.0,1.0,1.0,2015.0
0,28.0,1.6,12.0,15.6,6.7,13.1,0.0,32.0,10.0,97.95,,55.6,7.0,46.8,7.7,10.0,2.0,2.0,1870.0
1,34.0,0.2,10.0,12.6,2.3,15.4,0.8,13.9,15.0,73.68,8.0,79.8,1.0,57.2,2.6,9.0,0.0,2.0,
0,47.0,5.4,9.0,11.8,4.3,7.3,20.3,,8.0,94.63,9.0,91.1,0.0,29.9,3.7,1.0,2.0,4.0,924.0
1,23.0,0.6,8.0,29.6,8.5,33.2,27.9,34.9,19.5,248.53,6.0,37.2,5.0,39.96,0.7,4.0,3.0,2.0,4041.0
0,40.0,2.2,17.0,35.3,9.4,28.1,65.1,16.9,16.0,74.31,15.0,55.0,3.0,71.9,,5.0,4.0,2.0,2709.0
1,53.0,1.5,18.0,23.8,9.4,8.8,14.0,0.0,7.0,104.72,61.0,70.3,2.0,16.2,9.1,10.0,1.0,1.0,1653.0
1,18.0,1.9,8.0,18.1,1.2,13.5,0.0,2.3,2.0,220.17,5.0,70.5,0.0,76.6,8.4,6.0,1.0,2.0,1658.0
0,40.0,5.2,2.0,26.0,6.6,13.5,0.0,6.1,5.0,103.92,1.0,78.2,,46.1,3.8,6.0,1.0,4.0,1335.0
0,41.0,2.5,5.0,24.2,7.0,,,11.3,9.0,59.89,12.0,41.1,3.0,86.6,12.2,6.0,4.0,2.0,1287.0
0,47.0,1.6,6.0,20.6,,13.1,11.2,21.7,3.9,127.49,8.0,60.1,2.0,78.84,6.2,5.0,1.0,3.0,1312.0
1,23.0,1.3,19.0,31.5,13.5,30.2,29.1,38.6,16.0,110.42,130.0,44.5,8.0,19.3,4.5,3.0,2.0,3.0,
1,22.0,4.5,0.0,16.8,5.8,15.3,0.0,6.2,7.800000000000001,115.15,,54.6,0.0,33.72,6.0,12.0,0.0,1.0,
0,44.0,3.7,7.0,20.6,4.9,17.1,0.3,7.2,10.4,128.84,8.0,59.1,3.0,70.08,10.8,8.0,1.0,2.0,0.0
0,,4.6,23.0,45.9,14.7,33.4,76.8,37.0,24.7,100.21,30.0,52.4,9.0,54.6,7.1,4.0,5.0,3.0,3676.0
0,41.0,1.2,5.0,13.5,6.8,2.2,45.6,23.9,7.0,76.06,42.0,63.1,5.0,61.5,9.0,8.0,3.0,5.0,885.0
0,42.0,4.7,3.0,17.7,7.4,16.9,8.5,3.6,7.800000000000001,178.42,5.0,59.2,1.0,20.28,1.1,10.0,3.0,2.0,1549.0
0,29.0,0.1,4.0,36.2,9.7,,34.5,23.8,10.0,264.02,,48.8,6.0,33.3,7.1,3.0,7.0,2.0,2278.0
1,40.0,0.6,4.0,21.8,4.9,,10.5,,6.5,81.76,3.0,87.7,2.0,87.48,10.0,3.0,,4.0,781.0
1,41.0,2.4,0.0,2.6,1.0,9.4,6.7,1.2,4.0,86.29,27.0,63.3,0.0,31.6,6.2,8.0,0.0,2.0,0.0
1,29.0,0.6,6.0,34.4,,24.3,25.5,31.8,15.0,186.99,40.0,42.6,8.0,77.1,,6.0,,1.0,2549.0
0,,1.3,9.0,23.0,4.3,13.6,5.5,6.0,5.0,72.0,2.0,64.1,4.0,46.3,4.3,9.0,,2.0,1602.0
0,43.0,5.2,18.0,25.9,7.0,13.0,47.5,23.3,4.0,220.22,23.0,65.4,2.0,30.8,2.8,5.0,2.0,4.0,2737.0
1,23.0,1.3,11.0,23.8,6.4,9.9,,0.9,7.0,71.03,43.0,76.2,3.0,19.3,4.2,5.0,3.0,3.0,
0,45.0,4.7,3.0,6.9,3.3,1.0,0.0,10.7,7.0,66.55,3.0,73.5,,65.7,,7.0,0.0,3.0,2487.0
0,26.0,2.3,15.0,18.5,7.3,13.1,22.8,27.0,15.6,107.29,1.0,58.3,,30.36,,8.0,1.0,3.0,3177.0
0,47.0,2.4,6.0,18.8,5.1,19.0,25.3,4.9,6.0,80.79,2.0,81.3,1.0,34.0,6.4,8.0,1.0,1.0,1101.0
0,51.0,2.7,2.0,,5.0,7.4,22.9,12.2,9.0,152.54,51.0,61.0,6.0,69.6,0.9,5.0,4.0,2.0,
0,,5.7,16.0,12.0,6.0,12.6,0.0,21.9,7.0,99.87,49.0,71.2,2.0,61.1,5.1,9.0,1.0,2.0,1409.0
0,49.0,2.3,8.0,32.5,11.4,18.9,,14.2,9.0,85.01,9.0,58.6,4.0,44.4,,9.0,1.0,2.0,2507.0
0,42.0,2.8,10.0,18.8,7.6,8.5,32.9,22.3,8.0,165.06,67.0,75.2,6.0,39.5,1.3,6.0,2.0,2.0,
0,,2.1,31.0,49.9,17.7,,64.7,30.7,21.0,93.26,4.0,44.4,5.0,29.6,7.5,3.0,9.0,2.0,3586.0
0,60.0,1.1,4.0,17.3,8.4,19.4,14.9,12.3,16.900000000000002,69.26,6.0,60.9,7.0,16.919999999999998,10.6,3.0,1.0,2.0,301.0
0,35.0,1.9,7.0,13.5,6.5,12.4,6.2,11.3,7.0,124.42,85.0,57.9,3.0,37.1,2.8,3.0,,2.0,2365.0
0,28.0,0.8,0.0,18.7,7.2,7.2,0.0,6.3,13.0,81.19,2.0,58.6,2.0,58.1,22.8,4.0,3.0,2.0,1058.0
0,27.0,2.5,19.0,30.4,7.9,21.7,48.8,28.6,16.900000000000002,90.05,20.0,51.5,,53.4,10.9,9.0,3.0,3.0,1490.0
0,28.0,4.5,12.0,21.0,6.1,25.2,32.7,6.0,9.0,153.71,,58.1,0.0,48.7,1.0,7.0,5.0,2.0,2622.0
1,37.0,2.2,16.0,25.8,9.2,13.0,19.1,36.4,14.0,145.64,51.0,46.1,3.0,17.9,25.6,7.0,2.0,1.0,2150.0
1,42.0,1.1,7.0,17.3,9.3,10.3,7.9,2.2,4.0,185.72,180.0,88.0,1.0,33.2,5.8,8.0,0.0,2.0,
0,41.0,2.3,9.0,24.9,9.5,,32.4,0.0,13.0,107.98,17.0,47.5,3.0,45.35999999999999,5.6,7.0,2.0,2.0,1569.0
1,47.0,1.0,8.0,25.7,6.7,25.8,56.6,12.0,16.0,106.33,37.0,37.5,8.0,46.8,4.5,9.0,1.0,1.0,2365.0
0,38.0,0.5,23.0,47.9,,29.6,46.3,27.9,15.0,152.22,27.0,41.7,2.0,43.6,3.1,3.0,4.0,1.0,1572.0
0,55.0,1.3,13.0,13.4,5.4,8.7,0.0,5.4,7.0,160.95,21.0,49.8,0.0,44.5,5.7,4.0,2.0,3.0,1191.0
